epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,178.358,0.71724,0.74907,1.0427,0.68274,0.72185,0.74624,0.65108,0.67104,0.8861,1.04678,0.000297081,0.000297081,0.000297081
113,180.052,0.72596,0.76476,1.05482,0.76709,0.68478,0.73808,0.65003,0.68193,0.8947,1.05654,0.000289749,0.000289749,0.000289749
114,181.667,0.6939,0.72019,1.01145,0.76819,0.68719,0.73883,0.6404,0.69781,0.90765,1.06189,0.000282416,0.000282416,0.000282416
115,183.259,0.67439,0.73713,1.00818,0.781,0.67583,0.73487,0.63737,0.7011,0.93536,1.08064,0.000275084,0.000275084,0.000275084
116,184.986,0.74859,0.78235,1.06744,0.77231,0.67515,0.7381,0.63444,0.70053,0.92398,1.06798,0.000267751,0.000267751,0.000267751
117,186.615,0.72747,0.74584,1.03477,0.77064,0.68873,0.73683,0.63409,0.68743,0.90934,1.07021,0.000260418,0.000260418,0.000260418
118,188.214,0.69957,0.74021,1.02673,0.79183,0.68656,0.74105,0.65045,0.70572,0.90975,1.07919,0.000253086,0.000253086,0.000253086
119,189.834,0.74169,0.73279,1.04181,0.79912,0.69262,0.74557,0.65504,0.70104,0.9148,1.06656,0.000245753,0.000245753,0.000245753
120,191.478,0.69632,0.71104,1.01746,0.80923,0.67543,0.74962,0.65448,0.68369,0.89722,1.04684,0.000238421,0.000238421,0.000238421
121,193.165,0.71035,0.7003,1.00928,0.78817,0.67756,0.74745,0.65881,0.67648,0.88876,1.04979,0.000231088,0.000231088,0.000231088
122,194.789,0.69169,0.73749,1.03306,0.78146,0.68562,0.74654,0.65158,0.68589,0.88338,1.05778,0.000223755,0.000223755,0.000223755
123,196.438,0.75163,0.77185,1.04958,0.83567,0.66586,0.73623,0.64448,0.70729,0.89977,1.07186,0.000216423,0.000216423,0.000216423
124,198.062,0.67734,0.71371,1.01345,0.83055,0.68867,0.73726,0.63579,0.68965,0.87787,1.0532,0.00020909,0.00020909,0.00020909
125,199.692,0.71927,0.76185,1.04716,0.82236,0.70098,0.73783,0.63536,0.68137,0.85839,1.04846,0.000201758,0.000201758,0.000201758
126,201.423,0.71093,0.75351,1.04528,0.76398,0.71038,0.72612,0.63031,0.67838,0.86419,1.0428,0.000194425,0.000194425,0.000194425
127,203.023,0.72657,0.78018,1.05236,0.81716,0.69774,0.72841,0.63489,0.65451,0.85999,1.02759,0.000187092,0.000187092,0.000187092
128,204.595,0.70081,0.74781,1.04771,0.82321,0.70783,0.74562,0.64321,0.64677,0.8533,1.0247,0.00017976,0.00017976,0.00017976
129,206.287,0.7057,0.72732,1.0322,0.80907,0.72484,0.75268,0.65054,0.67148,0.87194,1.04835,0.000172427,0.000172427,0.000172427
