epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,178.54,0.78759,0.77525,1.09505,0.67502,0.7006,0.71472,0.64089,0.65038,0.86364,1.00471,0.000720539,0.000720539,0.000720539
73,181.288,0.73595,0.7348,1.03861,0.76916,0.71741,0.71825,0.649,0.68115,0.86846,1.01874,0.00071504,0.00071504,0.00071504
74,184.001,0.77793,0.79246,1.07876,0.77885,0.7029,0.7309,0.64494,0.69813,0.85357,1.03374,0.00070954,0.00070954,0.00070954
75,186.479,0.7814,0.76012,1.09142,0.78102,0.66727,0.70593,0.62255,0.69805,0.82666,1.06883,0.000704041,0.000704041,0.000704041
76,188.89,0.74544,0.73741,1.06016,0.61199,0.71844,0.67465,0.60656,0.70727,0.89374,1.08062,0.000698541,0.000698541,0.000698541
77,191.171,0.74799,0.73659,1.06126,0.74568,0.69494,0.71424,0.63503,0.67999,0.91958,1.05638,0.000693042,0.000693042,0.000693042
78,193.507,0.71557,0.71509,1.04769,0.80005,0.70945,0.72725,0.64398,0.6842,0.8659,1.04635,0.000687542,0.000687542,0.000687542
79,195.974,0.77894,0.76158,1.07942,0.82889,0.70898,0.74224,0.63962,0.70291,0.88698,1.07655,0.000682043,0.000682043,0.000682043
80,198.27,0.72243,0.72286,1.05197,0.75229,0.74209,0.7534,0.64994,0.695,0.86302,1.06848,0.000676543,0.000676543,0.000676543
81,200.611,0.72152,0.72846,1.04738,0.79253,0.69522,0.71322,0.63024,0.69237,0.99248,1.07747,0.000671044,0.000671044,0.000671044
82,203.398,0.74914,0.73462,1.06902,0.78391,0.64305,0.6896,0.61993,0.71485,1.05858,1.08559,0.000665545,0.000665545,0.000665545
83,206.209,0.76069,0.721,1.06333,0.72354,0.69383,0.69523,0.62642,0.70555,0.99871,1.08822,0.000660045,0.000660045,0.000660045
84,208.557,0.71074,0.68548,1.02491,0.74249,0.68728,0.72022,0.6405,0.69822,0.94276,1.07588,0.000654546,0.000654546,0.000654546
85,210.798,0.7423,0.73293,1.07739,0.7705,0.69136,0.73662,0.63651,0.72098,0.89622,1.09653,0.000649046,0.000649046,0.000649046
86,213.292,0.73054,0.70533,1.04784,0.7097,0.63563,0.66077,0.55014,0.68551,0.86676,1.07358,0.000643547,0.000643547,0.000643547
87,215.689,0.72279,0.68533,1.04946,0.58997,0.62713,0.60063,0.51342,0.70993,0.91957,1.09167,0.000638047,0.000638047,0.000638047
88,217.969,0.76161,0.71533,1.06225,0.65804,0.60653,0.58853,0.51418,0.69663,0.93241,1.06952,0.000632548,0.000632548,0.000632548
89,220.448,0.72573,0.7255,1.06556,0.74262,0.62966,0.66699,0.59227,0.70213,0.94424,1.07248,0.000627048,0.000627048,0.000627048
90,222.771,0.70523,0.68321,1.02766,0.87206,0.62278,0.68715,0.61474,0.70805,0.94118,1.0841,0.000621549,0.000621549,0.000621549
91,225.098,0.6753,0.6355,1.01249,0.84809,0.61722,0.69622,0.62248,0.70671,0.92185,1.08132,0.000616049,0.000616049,0.000616049
92,227.552,0.7345,0.69221,1.06433,0.78083,0.67264,0.71284,0.63088,0.6716,0.85908,1.06212,0.00061055,0.00061055,0.00061055
93,230.053,0.70501,0.66604,1.04686,0.6672,0.64197,0.64619,0.56144,0.67299,0.87386,1.04693,0.000605051,0.000605051,0.000605051
94,232.413,0.73892,0.68116,1.05312,0.86928,0.61591,0.69986,0.61655,0.63512,0.85142,1.03276,0.000599551,0.000599551,0.000599551
95,235.546,0.7047,0.65277,1.04691,0.77859,0.70421,0.74971,0.66487,0.63084,0.86656,1.02291,0.000594052,0.000594052,0.000594052
96,238.088,0.7085,0.67588,1.03467,0.80536,0.7117,0.74448,0.64923,0.63586,0.87243,1.0273,0.000588552,0.000588552,0.000588552
97,240.368,0.7571,0.7236,1.08811,0.79818,0.70688,0.73796,0.65441,0.64987,0.8389,1.02828,0.000583053,0.000583053,0.000583053
